	PID/THRD  SYSCALL(args) 		 = return
95400/0x2394fc:  fork()		 = 0 Err#1
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0x483ED144AD38DC82, 0xDE73DA21BDB84FB3, 0x19FF8D000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D58, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D58, 0x0)		 = 90926424 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04B5E70)		 = 90926425 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0x6633B23D16A18CD3, 0xACFB2AC9969CCBA9, 0x19FF80000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D59, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D59, 0x0)		 = 90926425 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04BF838)		 = 90926426 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0xB0375F7406A4CDDD, 0xCB8832749FCA979B, 0x1A82E4000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D5A, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D5A, 0x0)		 = 90926426 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F04B4898)		 = 90926427 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0x1E3B2F374758E62C, 0xD31ED1F533773EAD, 0x19FCAE000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D5B, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D5B, 0x0)		 = 90926427 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x0, 0x2F06EAA90)		 = 90926428 0
95400/0x2394fc:  kdebug_trace64(0x1F050000, 0x5E30A5B6F664D7AB, 0xAC7049F78DE4899D, 0x29CFB8000, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace64(0x1F050004, 0x0, 0x70AC0000056B6D5C, 0xFFFFFFFF80000002, 0x0)		 = 0 0
95400/0x2394fc:  kdebug_trace_string(0x1F050000, 0x70AC0000056B6D5C, 0x0)		 = 90926428 0
